직무,성별,응시자수,합격자수
가스,남자,16806,4790
가스,여자,982,270
건설기계설비,남자,6472,3733
건설기계설비,여자,822,454
건설기계정비,남자,575,100
건설기계정비,여자,2,2
건설배관분야,남자,7600,2685
건설배관분야,여자,45,16
건설안전,남자,41095,25066
건설안전,여자,6195,3339
건설재료시험,남자,4629,3141
건설재료시험,여자,709,532
건축,남자,41303,15987
건축,여자,18429,6463
건축목재시공,남자,96,14
건축목재시공,여자,9,2
건축분야,남자,57014,21236
건축분야,여자,25470,10833
건축설비,남자,12796,3736
건축설비,여자,1090,308
건축일반시공,남자,168,12
건축일반시공,여자,0,0
게임그래픽전문가,남자,354,147
게임그래픽전문가,여자,388,182
게임기획전문가,남자,506,212
게임기획전문가,여자,43,18
게임프로그래밍전문가,남자,120,90
게임프로그래밍전문가,여자,6,6
경영분야,남자,14531,8653
경영분야,여자,30174,18525
공조냉동기계,남자,21118,5936
공조냉동기계,여자,1444,446
광산보안,남자,228,108
광산보안,여자,7,1
광학,남자,215,175
광학,여자,50,39
광해방지,남자,192,38
광해방지,여자,65,13
광해방지분야,남자,192,38
광해방지분야,여자,65,13
교통,남자,3013,1132
교통,여자,1826,613
국제의료관광코디네이터,남자,220,136
국제의료관광코디네이터,여자,773,457
궤도장비정비,남자,12,9
궤도장비정비,여자,1,1
귀금속가공,남자,31,13
귀금속가공,여자,12,2
그린전동자동차,남자,327,49
그린전동자동차,여자,2,0
금속.재료분야,남자,10180,4393
금속.재료분야,여자,343,191
금속재료,남자,3324,1355
금속재료,여자,299,165
금형.공작기계분야,남자,283,111
금형.공작기계분야,여자,17,12
금형제작,남자,122,53
금형제작,여자,6,4
기계가공,남자,1658,770
기계가공,여자,55,28
기계설계,남자,125,45
기계설계,여자,14,5
기계장비설비.설치분야,남자,40865,16614
기계장비설비.설치분야,여자,2525,1069
기계제작분야,남자,43344,19341
기계제작분야,여자,5798,2552
기상,남자,851,375
기상,여자,809,345
기상감정,남자,112,57
기상감정,여자,76,27
농업기계,남자,16,11
농업기계,여자,3,2
농업분야,남자,6306,2195
농업분야,여자,8317,3324
농작업안전보건,남자,2283,499
농작업안전보건,여자,606,118
누설비파괴검사,남자,566,322
누설비파괴검사,여자,11,6
단조.주조분야,남자,1074,429
단조.주조분야,여자,11,4
대기환경,남자,15397,7453
대기환경,여자,10731,5149
도시.교통분야,남자,8325,2635
도시.교통분야,여자,5730,1905
도시계획,남자,5312,1503
도시계획,여자,3904,1292
도장.도금분야,남자,224,61
도장.도금분야,여자,8,5
디자인분야,남자,1277,427
디자인분야,여자,8649,4041
로봇기구개발,남자,28,5
로봇기구개발,여자,2,0
로봇소프트웨어개발,남자,19,11
로봇소프트웨어개발,여자,2,1
로봇하드웨어개발,남자,14,3
로봇하드웨어개발,여자,0,0
멀티미디어콘텐츠제작전문가,남자,1473,965
멀티미디어콘텐츠제작전문가,여자,1503,1036
목재.가구.공예분야,남자,31,13
목재.가구.공예분야,여자,12,2
무선설비,남자,3497,2631
무선설비,여자,1060,868
미용장,남자,120,8
미용장,여자,1879,253
바이오화학제품제조,남자,562,453
바이오화학제품제조,여자,653,522
방사선비파괴검사,남자,903,394
방사선비파괴검사,여자,51,28
방송.무선분야,남자,4001,3042
방송.무선분야,여자,1151,952
방송통신,남자,504,411
방송통신,여자,91,84
방재,남자,2257,658
방재,여자,176,48
배관,남자,7600,2685
배관,여자,45,16
보건.의료분야,남자,4690,1282
보건.의료분야,여자,30490,8939
비서1급,남자,11,1526
비서1급,여자,70,3173
비서2급,남자,5,448
비서2급,여자,33,1959
비서3급,남자,8,438
비서3급,여자,36,1293
비파괴검사분야,남자,9614,3990
비파괴검사분야,여자,350,168
빅데이터분석,남자,6620,4087
빅데이터분석,여자,4377,2270
사무분야,남자,995848,293584
사무분야,여자,1373405,437587
사출금형설계,남자,83,33
사출금형설계,여자,8,6
사회복지.종교분야,남자,17637,7570
사회복지.종교분야,여자,58556,26916
사회조사분석사1급,남자,225,66
사회조사분석사1급,여자,291,83
사회조사분석사2급,남자,12665,7910
사회조사분석사2급,여자,25959,16558
산림,남자,8847,5235
산림,여자,4101,2573
산업안전,남자,107541,54848
산업안전,여자,16974,8332
산업위생관리,남자,8289,4307
산업위생관리,여자,9045,4812
생물분류(동물),남자,401,366
생물분류(동물),여자,307,264
생물분류(식물),남자,368,218
생물분류(식물),여자,294,201
생산관리분야,남자,8500,3849
생산관리분야,여자,3470,1598
서비스·경험디자인,남자,367,115
서비스·경험디자인,여자,938,310
설비보전,남자,9244,5075
설비보전,여자,84,55
섬유,남자,9,7
섬유,여자,2,1
섬유분야,남자,32,12
섬유분야,여자,207,71
소방설비(기계분야),남자,63550,16502
소방설비(기계분야),여자,5937,1642
소방설비(전기분야),남자,81835,36282
소방설비(전기분야),여자,7153,2819
소비자전문상담사1급,남자,55,22
소비자전문상담사1급,여자,96,34
소비자전문상담사2급,남자,899,361
소비자전문상담사2급,여자,1233,526
소음진동,남자,860,442
소음진동,여자,264,119
수산양식,남자,1376,441
수산양식,여자,1428,457
수산제조,남자,31,24
수산제조,여자,29,21
수질환경,남자,12769,6961
수질환경,여자,9920,5553
숙박.여행.오락.스포츠분야,남자,4191,2261
숙박.여행.오락.스포츠분야,여자,1924,971
스포츠경영관리사,남자,4191,2261
스포츠경영관리사,여자,1924,971
승강기,남자,3421,1748
승강기,여자,169,109
시각디자인,남자,205,101
시각디자인,여자,889,569
시설원예,남자,128,27
시설원예,여자,51,8
식물보호,남자,8162,4454
식물보호,여자,6808,4048
식육가공,남자,158,103
식육가공,여자,58,44
식품,남자,8543,2493
식품,여자,21455,5587
식품분야,남자,8732,2620
식품분야,여자,21542,5652
신재생에너지발전설비(태양광),남자,14185,4831
신재생에너지발전설비(태양광),여자,970,309
실내건축,남자,2651,1487
실내건축,여자,5942,4060
안전관리분야,남자,339124,150465
안전관리분야,여자,50539,23076
압연,남자,2356,889
압연,여자,14,9
어업분야,남자,1442,459
어업분야,여자,1485,473
어업생산관리,남자,66,18
어업생산관리,여자,57,16
에너지.기상분야,남자,34222,11946
에너지.기상분야,여자,2431,904
에너지관리,남자,18774,6461
에너지관리,여자,501,161
영업.판매분야,남자,7173,2989
영업.판매분야,여자,9575,3760
온실가스관리,남자,1702,635
온실가스관리,여자,920,346
와전류비파괴검사,남자,557,314
와전류비파괴검사,여자,12,6
용접,남자,8205,2208
용접,여자,49,12
용접분야,남자,8205,2208
용접분야,여자,49,12
워드프로세서,남자,129986,55657
워드프로세서,여자,137781,57515
원자력,남자,300,222
원자력,여자,75,62
위험물,남자,22640,8771
위험물,여자,940,411
위험물분야,남자,22640,8771
위험물분야,여자,940,411
유기농업,남자,2213,821
유기농업,여자,2094,779
응용지질,남자,698,329
응용지질,여자,461,211
의공,남자,1981,757
의공,여자,1029,389
의류,남자,23,5
의류,여자,205,70
이용.미용분야,남자,320,39
이용.미용분야,여자,2723,396
이용장,남자,200,31
이용장,여자,844,143
인간공학,남자,3320,1998
인간공학,여자,1530,965
인쇄,남자,59,53
인쇄,여자,24,24
인쇄.사진분야,남자,59,53
인쇄.사진분야,여자,24,24
일반기계,남자,41561,18526
일반기계,여자,5729,2519
임베디드,남자,249,49
임베디드,여자,14,2
임산가공,남자,279,164
임산가공,여자,190,118
임상심리사1급,남자,302,117
임상심리사1급,여자,2504,1107
임상심리사2급,남자,4168,1029
임상심리사2급,여자,27213,7375
임업분야,남자,17399,9940
임업분야,여자,11132,6765
임업종묘,남자,111,87
임업종묘,여자,33,26
자기비파괴검사,남자,2134,861
자기비파괴검사,여자,77,32
자동차분야,남자,5540,1005
자동차분야,여자,61,15
자동차정비,남자,5213,956
자동차정비,여자,59,15
자연생태복원,남자,1915,890
자연생태복원,여자,2077,1107
잠수,남자,68,12
잠수,여자,0,0
전기,남자,163811,42706
전기,여자,18100,5465
전기공사,남자,32633,15984
전기공사,여자,4845,2479
전기분야,남자,197277,59173
전기분야,여자,23032,8003
전기철도,남자,324,207
전기철도,여자,21,12
전산회계운용사1급,남자,418,121
전산회계운용사1급,여자,408,125
전산회계운용사2급,남자,3805,1728
전산회계운용사2급,여자,11991,6052
전산회계운용사3급,남자,9457,4007
전산회계운용사3급,여자,35413,18033
전자,남자,791,368
전자,여자,142,69
전자계산기,남자,424,215
전자계산기,여자,44,18
전자계산기조직응용,남자,1820,899
전자계산기조직응용,여자,507,278
전자기기,남자,717,207
전자기기,여자,26,5
전자분야,남자,4478,1809
전자분야,여자,1312,526
전자상거래관리사1급,남자,31,8
전자상거래관리사1급,여자,4,1
전자상거래관리사2급,남자,309,163
전자상거래관리사2급,여자,303,184
전자상거래운용사,남자,376,216
전자상거래운용사,여자,366,253
전파전자통신,남자,430,301
전파전자통신,여자,45,38
정밀화학,남자,1,0
정밀화학,여자,1,0
정보기술분야,남자,169703,55550
정보기술분야,여자,94032,30887
정보보안,남자,17437,1891
정보보안,여자,4008,359
정보처리,남자,141373,47259
정보처리,여자,83200,26738
정보통신,남자,8665,3620
정보통신,여자,2517,1070
제강,남자,2498,986
제강,여자,13,6
제과,남자,1192,183
제과,여자,557,77
제과.제빵분야,남자,1192,183
제과.제빵분야,여자,557,77
제선,남자,2002,1163
제선,여자,17,11
제품디자인,남자,30,21
제품디자인,여자,34,24
조경,남자,4744,1828
조경,여자,3567,1720
조경분야,남자,4744,1828
조경분야,여자,3567,1720
조리,남자,922,109
조리,여자,1360,133
조리분야,남자,922,109
조리분야,여자,1360,133
조선,남자,279,166
조선,여자,33,21
조선분야,남자,279,166
조선분야,여자,33,21
종자,남자,3862,1306
종자,여자,4794,1836
주조,남자,1074,429
주조,여자,11,4
지적,남자,4246,1917
지적,여자,1859,857
직업상담사1급,남자,222,111
직업상담사1급,여자,1501,863
직업상담사2급,남자,17415,7459
직업상담사2급,여자,57055,26053
채광분야,남자,1368,436
채광분야,여자,38,15
철도분야,남자,1289,304
철도분야,여자,58,11
철도신호,남자,509,276
철도신호,여자,66,47
철도차량,남자,11,3
철도차량,여자,1,0
철도차량정비,남자,1278,301
철도차량정비,여자,57,11
철도토목,남자,407,206
철도토목,여자,22,11
초음파비파괴검사,남자,1908,253
초음파비파괴검사,여자,41,7
축산,남자,3580,1728
축산,여자,2429,1202
축산분야,남자,3580,1728
축산분야,여자,2429,1202
측량및지형공간정보,남자,4608,2200
측량및지형공간정보,여자,1301,680
침투비파괴검사,남자,3546,1846
침투비파괴검사,여자,158,89
컨벤션기획사1급,남자,4,0
컨벤션기획사1급,여자,12,2
컨벤션기획사2급,남자,683,294
컨벤션기획사2급,여자,2583,1322
컬러리스트,남자,675,190
컬러리스트,여자,6788,3138
컴퓨터활용능력1급,남자,577697,100124
컴퓨터활용능력1급,여자,695240,115890
컴퓨터활용능력2급,남자,283138,134545
컴퓨터활용능력2급,여자,520926,254565
콘크리트,남자,4267,2498
콘크리트,여자,276,170
텔레마케팅관리사,남자,6457,2602
텔레마케팅관리사,여자,8902,3322
토목,남자,25276,11790
토목,여자,5142,2454
토목분야,남자,45260,22586
토목분야,여자,10497,5288
토양환경,남자,2042,916
토양환경,여자,1762,817
통신분야,남자,12029,5020
통신분야,여자,2719,1170
통신설비,남자,2934,1099
통신설비,여자,157,62
판금.제관.새시분야,남자,65,47
판금.제관.새시분야,여자,0,0
판금제관,남자,65,47
판금제관,여자,0,0
폐기물처리,남자,3959,2153
폐기물처리,여자,2453,1400
포장,남자,137,21
포장,여자,38,3
표면처리,남자,224,61
표면처리,여자,8,5
품질경영,남자,8363,3828
품질경영,여자,3432,1595
프레스금형설계,남자,78,25
프레스금형설계,여자,3,2
한글속기1급,남자,1375,164
한글속기1급,여자,5263,694
한글속기2급,남자,1482,310
한글속기2급,여자,5504,1151
한글속기3급,남자,2146,372
한글속기3급,여자,8552,1347
항공,남자,71,7
항공,여자,9,1
항공분야,남자,71,7
항공분야,여자,9,1
항로표지,남자,260,79
항로표지,여자,85,22
해양공학,남자,24,3
해양공학,여자,5,0
해양자원개발,남자,33,19
해양자원개발,여자,10,6
해양환경,남자,752,388
해양환경,여자,628,345
화공,남자,12177,5525
화공,여자,7539,3559
화공분야,남자,19249,8012
화공분야,여자,18555,7960
화약류관리,남자,1140,328
화약류관리,여자,31,14
화약류제조,남자,137,106
화약류제조,여자,25,16
화재감식평가,남자,12148,5515
화재감식평가,여자,1941,731
화학분석,남자,6372,1928
화학분석,여자,10337,3863
화훼장식,남자,103,41
화훼장식,여자,1378,701
환경분야,남자,40008,20142
환경분야,여자,29260,15067
환경위해관리,남자,595,108
환경위해관리,여자,532,111
회계분야,남자,13680,5856
회계분야,여자,47812,24210
